66.249.64.26 - - [17/Dec/2017:16:05:04 -0800] "GET /robots.txt HTTP/1.1" 404 89 "-" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)" "www.rpm-us.com"
45.55.244.149 - - [17/Dec/2017:20:33:58 -0800] "GET / HTTP/1.1" 200 7143 "http://www.rpm-us.com" "Mozilla/5.0 (compatible; DnyzBot/1.0)" "www.rpm-us.com"
45.55.244.149 - - [17/Dec/2017:20:33:59 -0800] "GET /js/jquery-1.js HTTP/1.1" 200 93435 "-" "Mozilla/5.0 (compatible; DnyzBot/1.0)" "www.rpm-us.com"
45.55.244.149 - - [17/Dec/2017:20:34:00 -0800] "GET /js/custom.js HTTP/1.1" 200 12866 "-" "Mozilla/5.0 (compatible; DnyzBot/1.0)" "www.rpm-us.com"
45.55.244.149 - - [17/Dec/2017:20:34:00 -0800] "GET /css/main.css HTTP/1.1" 200 7562 "-" "Mozilla/5.0 (compatible; DnyzBot/1.0)" "www.rpm-us.com"
45.55.244.149 - - [17/Dec/2017:20:34:00 -0800] "GET /css/style.css HTTP/1.1" 200 1419 "-" "Mozilla/5.0 (compatible; DnyzBot/1.0)" "www.rpm-us.com"
45.55.244.149 - - [17/Dec/2017:20:34:00 -0800] "GET /css/camera.css HTTP/1.1" 200 25990 "-" "Mozilla/5.0 (compatible; DnyzBot/1.0)" "www.rpm-us.com"
45.55.244.149 - - [17/Dec/2017:20:34:00 -0800] "GET /js/jquery.mobile.customized.min.js HTTP/1.1" 200 17519 "-" "Mozilla/5.0 (compatible; DnyzBot/1.0)" "www.rpm-us.com"
45.55.244.149 - - [17/Dec/2017:20:34:00 -0800] "GET /js/jquery.easing.1.3.js HTTP/1.1" 200 8097 "-" "Mozilla/5.0 (compatible; DnyzBot/1.0)" "www.rpm-us.com"
45.55.244.149 - - [17/Dec/2017:20:34:00 -0800] "GET /js/camera.min.js HTTP/1.1" 200 39331 "-" "Mozilla/5.0 (compatible; DnyzBot/1.0)" "www.rpm-us.com"
45.55.244.149 - - [17/Dec/2017:20:34:00 -0800] "GET /js/js2/jquery.min.js HTTP/1.1" 200 94020 "-" "Mozilla/5.0 (compatible; DnyzBot/1.0)" "www.rpm-us.com"
45.55.244.149 - - [17/Dec/2017:20:34:35 -0800] "GET /robots.txt HTTP/1.1" 404 89 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_2) AppleWebKit/537.75.14 (KHTML, like Gecko) Version/7.0.3 Safari/537.75.14" "www.rpm-us.com"
45.55.244.149 - - [17/Dec/2017:20:35:29 -0800] "GET /index.html HTTP/1.1" 200 7143 "http://www.rpm-us.com" "Mozilla/5.0 (compatible; DnyzBot/1.0)" "www.rpm-us.com"
45.55.244.149 - - [17/Dec/2017:20:35:31 -0800] "GET /investment_strtegies.html HTTP/1.1" 200 7748 "http://www.rpm-us.com" "Mozilla/5.0 (compatible; DnyzBot/1.0)" "www.rpm-us.com"
10.247.27.197 - - [17/Dec/2017:20:35:32 -0800] "GET /our_portfolio.html HTTP/1.1" 200 11304 "http://www.rpm-us.com" "Mozilla/5.0 (compatible; DnyzBot/1.0)" "www.rpm-us.com"
45.55.244.149 - - [17/Dec/2017:20:35:32 -0800] "GET /thirdparty.html HTTP/1.1" 200 8889 "http://www.rpm-us.com" "Mozilla/5.0 (compatible; DnyzBot/1.0)" "www.rpm-us.com"
45.55.244.149 - - [17/Dec/2017:20:35:33 -0800] "GET /contact.html HTTP/1.1" 404 89 "http://www.rpm-us.com" "Mozilla/5.0 (compatible; DnyzBot/1.0)" "www.rpm-us.com"
38.100.21.64 - - [17/Dec/2017:23:03:40 -0800] "GET / HTTP/1.1" 200 7143 "-" "Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.2)" "www.rpm-us.com"
38.100.21.64 - - [17/Dec/2017:23:03:40 -0800] "GET /investment_strtegies.html HTTP/1.1" 200 7748 "-" "Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.2)" "www.rpm-us.com"
38.100.21.64 - - [17/Dec/2017:23:03:40 -0800] "GET /Contact.html HTTP/1.1" 200 10974 "-" "Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.2)" "www.rpm-us.com"
38.100.21.64 - - [17/Dec/2017:23:03:41 -0800] "GET /index.html HTTP/1.1" 200 7143 "-" "Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.2)" "www.rpm-us.com"
10.247.27.192 - - [17/Dec/2017:23:03:41 -0800] "GET /css/camera.css HTTP/1.1" 200 25990 "-" "Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.2)" "www.rpm-us.com"
38.100.21.64 - - [17/Dec/2017:23:03:41 -0800] "GET /our_portfolio.html HTTP/1.1" 200 11304 "-" "Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.2)" "www.rpm-us.com"
38.100.21.64 - - [17/Dec/2017:23:03:41 -0800] "GET /thirdparty.html HTTP/1.1" 200 8889 "-" "Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.2)" "www.rpm-us.com"
207.46.13.196 - - [18/Dec/2017:00:19:00 -0800] "GET /robots.txt HTTP/1.1" 404 89 "-" "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)" "rpm-us.com"
